연번,호선,고유역번호(외부역코드),역명,위도,경도,작성일자
532,1,P26,평택,36.990723,127.085326,2026-01-25
533,1,P27,성환,36.915914,127.126888,2026-01-25
534,1,P28,직산,36.87063,127.14397,2026-01-25
535,1,P29,두정,36.833251,127.149009,2026-01-25
536,1,P30,천안,36.809324,127.146291,2026-01-25
537,1,P31,봉명,36.801159,127.135694,2026-01-25
538,1,P32,쌍용,36.793679,127.121326,2026-01-25
539,1,P33,아산,36.792124,127.104526,2026-01-25
540,1,P34,탕정,36.788333,127.084718,2026-01-25
541,1,P35,배방,36.777711,127.053109,2026-01-25
542,1,P36,온양온천,36.780506,127.00321,2026-01-25
543,1,P37,신창,36.76932,126.950423,2026-01-25
